@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute myo1-5 numeric
@attribute myo1-6 numeric
@attribute myo1-7 numeric
@attribute myo1-8 numeric
@attribute myo1-9 numeric
@attribute myo1-10 numeric
@attribute myo1-11 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric

@data
93,'2018/02/25 22:20:02:655',2,-0.4068,-0.245884,0.623981,0.501961,0.47451,0.45098,0.490196,0.494118,0.498039,0.505882,0.501961,?,0
94,'2018/02/25 22:20:02:687',2,-0.405641,-0.246314,0.621906,0.470588,0.501961,0.505882,0.509804,0.494118,0.490196,0.494118,0.498039,?,0
95,'2018/02/25 22:20:02:723',2,-0.405433,-0.246553,0.622449,0.509804,0.458824,0.462745,0.494118,0.494118,0.494118,0.501961,0.486275,?,0
96,'2018/02/25 22:20:02:731',2,-0.404934,-0.246983,0.62247,0.505882,0.498039,0.627451,0.498039,0.498039,0.509804,0.478431,0.505882,?,0
97,'2018/02/25 22:20:02:756',2,-0.404531,-0.2472,0.622711,0.486275,0.466667,0.458824,0.482353,0.47451,0.478431,0.490196,0.486275,?,0
98,'2018/02/25 22:20:02:787',2,-0.40408,-0.247467,0.623326,0.490196,0.45098,0.545098,0.494118,0.521569,0.517647,0.521569,0.498039,?,0
99,'2018/02/25 22:20:02:821',2,-0.403246,-0.247975,0.624211,0.505882,0.552941,0.403922,0.47451,0.490196,0.494118,0.47451,0.498039,?,0
100,'2018/02/25 22:20:02:854',2,-0.403113,-0.248569,0.626562,0.509804,0.533333,0.545098,0.498039,0.505882,0.498039,0.501961,0.505882,?,0
101,'2018/02/25 22:20:02:864',2,-0.403062,-0.24887,0.627138,0.494118,0.447059,0.505882,0.486275,0.494118,0.486275,0.501961,0.494118,?,0
102,'2018/02/25 22:20:02:887',2,-0.40305,-0.249174,0.627879,0.498039,0.45098,0.270588,0.47451,0.482353,0.478431,0.486275,0.490196,?,0
103,'2018/02/25 22:20:02:921',2,-0.403363,-0.249174,0.628847,0.482353,0.462745,0.4,0.47451,0.470588,0.482353,0.501961,0.482353,?,0
104,'2018/02/25 22:20:02:954',2,-0.403363,-0.249174,0.628847,0.490196,0.462745,0.168627,0.486275,0.505882,0.505882,0.486275,0.486275,?,0
105,'2018/02/25 22:20:02:966',2,-0.403363,-0.249174,0.628847,0.490196,0.462745,0.168627,0.486275,0.505882,0.505882,0.486275,0.486275,?,0
106,'2018/02/25 22:20:02:991',2,-0.404285,-0.248802,0.630244,0.501961,0.478431,0.501961,0.498039,0.498039,0.517647,0.478431,0.498039,?,0
107,'2018/02/25 22:20:03:017',2,-0.404918,-0.248369,0.630917,0.490196,0.494118,0.580392,0.501961,0.494118,0.498039,0.462745,0.486275,?,0
108,'2018/02/25 22:20:03:044',2,-0.406349,-0.248166,0.631926,0.490196,0.478431,0.517647,0.494118,0.494118,0.478431,0.466667,0.486275,?,0
109,'2018/02/25 22:20:03:068',2,-0.406944,-0.248219,0.632189,0.490196,0.529412,0.52549,0.494118,0.498039,0.505882,0.501961,0.501961,?,0
110,'2018/02/25 22:20:03:105',2,-0.408205,-0.247891,0.633247,0.490196,0.470588,0.415686,0.482353,0.486275,0.494118,0.494118,0.494118,?,0
111,'2018/02/25 22:20:03:134',2,-0.408806,-0.248141,0.633173,0.494118,0.482353,0.466667,0.486275,0.47451,0.482353,0.509804,0.494118,?,0
112,'2018/02/25 22:20:03:147',2,-0.408806,-0.248141,0.633173,0.494118,0.482353,0.466667,0.486275,0.47451,0.482353,0.509804,0.494118,?,0
113,'2018/02/25 22:20:03:172',2,-0.409612,-0.24836,0.632864,0.494118,0.505882,0.545098,0.482353,0.486275,0.486275,0.541176,0.501961,?,0
114,'2018/02/25 22:20:03:202',2,-0.409592,-0.24838,0.632728,0.501961,0.517647,0.501961,0.482353,0.494118,0.482353,0.478431,0.498039,?,0
115,'2018/02/25 22:20:03:238',2,-0.409381,-0.248576,0.63195,0.490196,0.482353,0.454902,0.494118,0.494118,0.498039,0.482353,0.494118,?,0
116,'2018/02/25 22:20:03:268',2,-0.409038,-0.248651,0.631384,0.505882,0.513726,0.47451,0.490196,0.486275,0.470588,0.501961,0.494118,?,0
117,'2018/02/25 22:20:03:274',2,-0.409038,-0.248651,0.631384,0.505882,0.513726,0.47451,0.490196,0.486275,0.470588,0.501961,0.494118,?,0
118,'2018/02/25 22:20:03:304',2,-0.408051,-0.248709,0.628852,0.494118,0.478431,0.34902,0.501961,0.486275,0.482353,0.47451,0.490196,?,0
119,'2018/02/25 22:20:07:740',3,-0.296409,-0.185475,-0.853445,0.490196,0.498039,0.498039,0.517647,0.482353,0.494118,0.494118,0.494118,?,1
120,'2018/02/25 22:20:07:749',3,-0.296653,-0.185911,-0.852293,0.490196,0.498039,0.498039,0.517647,0.482353,0.494118,0.494118,0.494118,?,1
121,'2018/02/25 22:20:07:779',3,-0.296887,-0.186944,-0.852181,0.501961,0.501961,0.498039,0.486275,0.47451,0.482353,0.498039,0.501961,?,1
122,'2018/02/25 22:20:07:818',3,-0.297219,-0.187463,-0.851992,0.486275,0.47451,0.486275,0.47451,0.490196,0.486275,0.517647,0.490196,?,1
123,'2018/02/25 22:20:07:851',3,-0.297938,-0.188154,-0.848857,0.490196,0.494118,0.490196,0.486275,0.478431,0.494118,0.490196,0.486275,?,1
124,'2018/02/25 22:20:07:887',3,-0.298219,-0.188633,-0.846498,0.494118,0.52549,0.533333,0.505882,0.498039,0.482353,0.482353,0.490196,?,1
125,'2018/02/25 22:20:07:897',3,-0.298126,-0.189027,-0.843869,0.501961,0.498039,0.478431,0.529412,0.521569,0.501961,0.498039,0.482353,?,1
126,'2018/02/25 22:20:07:912',3,-0.29785,-0.189166,-0.840956,0.494118,0.490196,0.494118,0.466667,0.470588,0.494118,0.490196,0.494118,?,1
127,'2018/02/25 22:20:07:939',3,-0.297058,-0.188879,-0.835012,0.494118,0.486275,0.47451,0.431373,0.439216,0.501961,0.498039,0.498039,?,1
